,basin_id,NSE,KGE,Performance
0,02AB024,0.6825407353405104,0.6146289251056718,Good
1,02DD031,-8.530646511804932,-1.3423324508797472,Negative
2,02BF006,0.7773589981665494,0.7769818614536551,Excellent
3,04058500,,,N/A
4,04015330,0.30846560943266266,0.151732705692196,Unsatisfactory
5,04024098,0.22701380475169464,0.1792362275005409,Unsatisfactory
6,02BB004,0.6112161154744102,0.6013248525267719,Good
7,02BC006,0.5774122822499405,0.516643073052131,Good
8,02BA005,0.16648555935090326,0.07604991118152504,Unsatisfactory
9,02BA003,-0.20423021202225278,-0.1876012041114521,Negative
10,02DB002,,,N/A
11,04043275,0.7077245901488262,0.8465984247729403,Good
12,02CC002,,,N/A
13,02CC009,0.6228977396542331,0.6900949397441085,Good
14,02DD001,,,N/A
15,02AB011,0.20164638250007305,0.1993325730360772,Unsatisfactory
16,04043150,0.6306246495849942,0.4737783767079782,Good
17,02CC003,,,N/A
18,02CA002,0.6170249698024659,0.7112309136088162,Good
19,02AA001,0.6160141577727056,0.7344501634466516,Good
20,02BF003,,,N/A
21,02DD005,0.8174317000684671,0.7769769321641715,Excellent
22,02DD007,-0.9056555598267388,0.053938716118754004,Negative
23,02DC005,,,N/A
24,02DB003,,,N/A
25,04058100,0.08325749379359537,0.42385802325796085,Unsatisfactory
26,02BD007,-0.07420782801858627,0.4790454987277377,Negative
27,04062000,-0.4787994319367117,-0.439280403804293,Negative
28,02DB001,,,N/A
29,04031000,0.5062013103982113,0.5487370784137067,Good
30,04062500,-1.4822102848196614,0.0910770143242361,Negative
31,02CF005,0.27798016617484966,0.4564786405451815,Unsatisfactory
32,02AB006,0.30423285965106817,0.32681264380813624,Unsatisfactory
33,02CE002,0.7857421555737304,0.871509045387989,Excellent
34,04041500,0.7329530631527434,0.6488738386472716,Good
35,02BB003,-0.011688244205541265,-0.18890504030035582,Negative
36,02DD010,-0.5492322791903954,0.08022970923177397,Negative
37,04036000,0.11915948142489796,0.5354487331918767,Unsatisfactory
38,02HF004,0.324267726008024,0.2649762085655657,Unsatisfactory
39,02GA048,0.7645723293075712,0.7968313973820529,Excellent
40,02EB104,,,N/A
41,04123500,-6.218632166928243,0.11031279588687115,Negative
42,02HL007,0.8644534532267547,0.7682153531464642,Excellent
43,02GA012,,,N/A
44,04257000,-2.4472828885025986,-0.2515492564420301,Negative
45,02EA007,,,N/A
46,04067958,0.7964366487209086,0.7791522153535763,Excellent
47,04067500,0.2053325774311766,0.27972805363433495,Unsatisfactory
48,02EA009,,,N/A
49,02HL101,,,N/A
50,02FB001,,,N/A
51,02ED015,0.7964149696659015,0.8022039887429164,Excellent
52,02HB018,0.7599307257609288,0.6646306917753336,Excellent
53,04258000,-0.4060184328396341,0.4072236251189556,Negative
54,02HL001,0.6508808699623971,0.47290611067976585,Good
55,02GA022,,,N/A
56,02HB013,0.5316117658714095,0.6451801407507747,Good
57,02FB013,0.47144572022353814,0.7444514270675713,Good
58,02GA003,0.7856476926733515,0.7750011351296298,Excellent
59,04250200,0.4292341232206822,0.4912203389918429,Good
60,04129000,0.7777638919047878,0.7780399253219619,Excellent
61,02HK002,0.3335049764560285,0.39785677605673087,Unsatisfactory
62,02FB003,,,N/A
63,02ED026,0.711568553688648,0.6807890663184539,Good
64,02EB011,-1.8630775802992923,-1.491137929941384,Negative
65,02GA040,0.711730889454418,0.7332418610471021,Good
66,02EA012,,,N/A
67,02HB031,-0.9975537644898871,0.13357508435208298,Negative
68,02HB019,0.49980723017635764,0.5764516972874989,Good
69,02FC021,-0.9961806022728499,0.16822134096643482,Negative
70,02EA011,0.3960673771195292,0.4375556174998876,Good
71,02FC009,,,N/A
72,02ED031,0.4834509806626971,0.3833044366299584,Good
73,04067000,0.0417276932678593,0.17919124858963653,Unsatisfactory
74,04137005,0.7894992981386437,0.8688189647995384,Excellent
75,02FB010,0.6681161862080826,0.5411825761584591,Good
76,04142000,0.504271675941294,0.4326110536523261,Good
77,02FE009,0.6991355441676192,0.8032492509232998,Good
78,04126000,0.6605539548836259,0.6188603857761703,Good
79,02FE014,0.5315808128169257,0.7337953039702899,Good
80,04223000,0.5429876482849368,0.5384729154355177,Good
81,02FF015,0.33811286845862376,0.5157774898181398,Unsatisfactory
82,02HM007,0.6886531757073868,0.5059858215520945,Good
83,02ED001,,,N/A
84,02ED013,0.061775213497556436,-0.0597637823458157,Unsatisfactory
85,02HL008,0.6958672761148406,0.5660231374171307,Good
86,02HL103,,,N/A
87,02GD026,0.35616594569499016,0.6062184081312398,Unsatisfactory
88,02HK016,0.6527976941752965,0.5906959337605306,Good
89,02HJ005,0.4279021991708387,0.38408701362047837,Good
90,04072845,0.26830407614952945,0.30881740578143846,Unsatisfactory
91,02FE017,0.672040298226078,0.6106157674977409,Good
92,02GA045,-0.6735958940307099,0.22633501799667688,Negative
93,02HK008,0.5708462748447044,0.4960951475203681,Good
94,02HD004,0.34461259605185723,0.5008387049498745,Unsatisfactory
95,02FA004,0.5540309269749804,0.6217875558489256,Good
96,02FF007,0.7807614087127287,0.8529140972737439,Excellent
97,02FD001,0.5463172931823281,0.6417152219167825,Good
98,04085281,0.6460863416093217,0.7224629103161391,Good
99,02FC015,0.10531214381126708,0.5602109192520643,Unsatisfactory
100,04084500,0.32077133022167414,0.6121420942276361,Unsatisfactory
101,040851325,0.3730302516142525,0.4667523978854352,Good
102,02ED003,0.7894194228728475,0.8415058006892199,Excellent
103,04213500,0.5831594832449649,0.41345261016450585,Good
104,02EC006,-0.7436148002576664,0.2741585516775965,Negative
