,basin_id,PBIAS_high,FHV,PBIAS_low,FLV
0,02AA001,,,,
1,02AA002,,,,
2,02AB001,,,,
3,02AB002,,,,
4,02AB004,,,,
5,02AB005,,,,
6,02AB006,-39.85751528932679,0.11019180197541817,81.39875254628537,0.06186599837668702
7,02AB007,,,,
8,02AB008,-43.28628871993994,0.2569803533557597,-6.205780872980435,0.004247464204564331
9,02AB009,,,,
10,02AB010,,,,
11,02AB011,,,,
12,02AB012,,,,
13,02AB013,,,,
14,02AB014,-43.49579528372213,0.2383461327378709,83.12903539989172,0.012617330642891833
15,02AB015,,,,
16,02AB016,,,,
17,02AB017,-46.82694494614796,0.21635660558228606,14.134579522835814,0.008377967899181446
18,02AB019,-31.989118066258033,0.24547766597019335,27.054170469670513,0.007257011232890059
19,02AB020,-27.5641060618047,0.2927410603996148,24.56304295101133,0.008617276608360433
20,02AB021,-42.21511534333346,0.24747019132617237,128.5270221585446,0.017815889076317665
21,02AB022,-29.307379727771675,0.2791552648966294,-5.623150453141463,0.003849358492114427
22,02AB023,-58.3413463565742,0.24055203713713225,18.131898637679278,0.0006080334738826568
23,02AB024,-38.328742594484666,0.25795480634854473,78.37476460594132,0.00711277048286188
24,02AB025,-75.08896894200828,0.016410167870048474,-50.88049659269692,0.03276556386024479
25,02AC001,-43.71692539819657,0.195732866958529,73.91140250522842,0.01790038236167479
26,02AC002,-12.141387176243386,0.22370093107072445,63.165919127662995,0.02757410071691078
27,02AD010,-16.810832775705908,0.2714845018547727,121.07447933906141,0.026089843434157503
28,02AD011,,,,
29,02AE001,-81.55715024514299,0.060833376708800256,371.8774577397715,0.042918694729106505
30,02BA002,,,,
31,02BA003,-19.071329224780158,0.23257089563136688,85.04858274238272,0.03312770529425045
32,02BA005,-46.109062934669076,0.2236375613104623,236.00931469764973,0.02002516611550849
33,02BA006,-22.65926580713287,0.1994406076158197,82.35482665387785,0.030844551538668812
34,02BB002,,,,
35,02BB003,-7.631891239890399,0.2775648914790267,69.28916294886068,0.028540211346773314
36,02BB004,-10.044803584523002,0.23537220385294144,33.9284223336023,0.02686373792581293
37,02BC002,,,,
38,02BC003,,,,
39,02BC004,-16.075705765744523,0.16943197840875496,149.4882960280698,0.054220538245998436
40,02BC005,,,,
41,02BC006,-27.482869530007637,0.23733012280446414,183.00153344404117,0.02581200374508675
42,02BC008,-6.632193334327472,0.22679612135942484,58.97741029810649,0.04365036121047742
43,02BD001,,,,
44,02BD002,-59.83206699400928,0.07349847095585602,206.78365082913476,0.07640105058955088
45,02BD003,,,,
46,02BD006,-55.9762335613888,0.09947327352125389,1012.4330283125744,0.06226704753956737
47,02BD007,-42.81318530715153,0.08209018573046595,98.2873852454088,0.07331483370534551
48,02BE001,,,,
49,02BE002,-76.41606259183024,0.0259582433015101,582.0864418473876,0.05866606383645518
50,02BF001,-17.859692032936096,0.25530405888554275,139.7715446306709,0.03418144177772
51,02BF002,-20.47978326397619,0.24470126459214323,176.27485033852597,0.03664972371747375
52,02BF003,,,,
53,02BF004,-42.19979787989199,0.22059035143785716,22.75255850494601,0.007444468733618159
54,02BF005,-16.82185391437908,0.22882389108337128,67.00228489616453,0.010797816620975856
55,02BF006,-18.717098681744023,0.24364413184102543,125.99147386625802,0.011543837812577446
56,02BF007,-30.68032744637551,0.23141368132612808,252.65570126967765,0.012259656511250504
57,02BF014,-10.464637498091475,0.2537203055068476,76.75539341560705,0.02777809367557637
58,02CA002,-10.18438429274757,0.30680207578446955,135.45061064151662,0.008456918029242198
59,02CA007,-34.52755134845332,0.19846293100178547,55.141701927889194,0.022423186843531735
60,02CB001,,,,
61,02CB002,,,,
