basin_id,NSE,KGE,Performance
04043150,0.34417176908827884,0.6780261128617582,Unsatisfactory
04057000,,,N/A
04059500,0.5012629157556757,0.6366440485557604,Good
04065300,,,N/A
04065722,0.5384603877276625,0.6282778664819556,Good
04066500,0.002414582674188037,0.5467797089148305,Unsatisfactory
04067958,0.1334127750788504,0.2587107802823836,Unsatisfactory
04071000,0.378328354681323,0.6908956836234876,Good
04072150,0.26066985117468877,0.4353328264143287,Unsatisfactory
04073462,,,N/A
04074950,0.49987860513161686,0.7327453714501168,Good
04078500,0.35515656381491345,0.534811490695676,Unsatisfactory
04080000,0.11528743268695829,0.5572010817034247,Unsatisfactory
04082400,0.34749733553865036,0.4764124862739505,Unsatisfactory
04084500,,,N/A
04085427,0.5568419079690291,0.6915245776638095,Good
04087088,-2.1860073790918246,-0.14948014024368117,Negative
