basin_id,NSE,KGE,num_observation,Performance
02AC001,0.129303190815549,0.2741870016550407,3652,Unsatisfactory
02AB019,0.1187157949536767,0.320396486793882,3561,Unsatisfactory
02ED017,0.0808727974256189,0.4847860340917528,3652,Unsatisfactory
02FA001,0.5293203571466315,0.7389620268841615,3652,Good
02ED031,0.0535304357194343,0.0810328750612182,3652,Unsatisfactory
02FD001,0.3563090425458215,0.6324586430255166,2480,Unsatisfactory
02GC022,-0.2192144736864765,0.3435728552432318,3652,Negative
02GC036,-0.277312255339599,0.2293558595835145,3652,Negative
02HM005,0.4596483549514667,0.5738469664258197,3629,Good
02HM003,0.6981308108192732,0.7342386301974618,3652,Good
02HD018,0.1088112705220001,0.4097593925630076,3652,Unsatisfactory
02HD019,0.2585911058937277,0.4929464864948338,3652,Unsatisfactory
02HC030,0.038336071587895,0.0435435027741035,3652,Unsatisfactory
02HB030,-1.3344970429094452,0.0663126669025523,3652,Negative
02HB027,0.0546626023141491,0.0154186199419271,3652,Unsatisfactory
02HA014,-0.1276635564466151,-0.1763527415136967,3652,Negative
02CG003,-1.2667068874914191,-0.0190652890552602,3652,Negative
02GA041,0.1530201113282849,0.1532968145792177,3652,Unsatisfactory
02GA014,0.2413702770366028,0.2917264668770315,3652,Unsatisfactory
02GA042,-0.0571904433262171,0.0622751003387087,3652,Negative
02GA039,0.0500216742548157,0.1167989443867619,3458,Unsatisfactory
02GA016,0.2012368276549117,0.3256157905145224,3652,Unsatisfactory
02GA005,0.1156615916311458,0.1456805720039795,3652,Unsatisfactory
02GA040,0.251801473120754,0.5137757360476771,3652,Unsatisfactory
02GA028,0.1028171854752333,0.233199282623021,3652,Unsatisfactory
02GA031,-0.3047245478235068,0.3768502171148139,3652,Negative
02GA023,0.097084707591953,0.331241964894902,3652,Unsatisfactory
02GA034,0.2863924365100488,0.4140781360974617,3652,Unsatisfactory
02GA049,0.0518614950166356,0.0202338216950399,1418,Unsatisfactory
02GA029,0.1063992812208323,0.5312969250843035,3652,Unsatisfactory
02GA015,0.1140529655458331,0.5164693892177352,3652,Unsatisfactory
02GA006,0.1414513873670786,0.3036878049263689,3652,Unsatisfactory
02GA024,-0.5431739276599357,0.0037040213705694,3652,Negative
02GA038,0.1060487536238453,0.2420055920917736,3652,Unsatisfactory
02GA047,0.106808738460179,0.5524059635685501,3652,Unsatisfactory
02GA048,0.2180163443843503,0.4032314877880558,3652,Unsatisfactory
02GD014,0.1360514563949345,0.2792149869925774,3638,Unsatisfactory
02GA030,-2.704918262103956,-1.2871470891146473,3652,Negative
02GD026,0.1093250003901811,0.3291007665974238,3651,Unsatisfactory
02GA018,0.0309776981176778,0.2245089299458306,3652,Unsatisfactory
02GA003,0.2556824458567769,0.5034476852124483,3652,Unsatisfactory
02GA043,-2.0527780273057648,-0.0543398962787111,3652,Negative
02GD018,0.079934909253401,0.2775252363712726,3652,Unsatisfactory
02GD019,-0.0580788352759826,0.1593692588862727,3652,Negative
02GD009,-0.4282879342914865,0.3968063194266483,3652,Negative
02GD005,0.145357902450921,0.3169139409875258,3652,Unsatisfactory
02GD021,0.1085360539870199,0.1439908569418811,3652,Unsatisfactory
02GD010,0.083437144437259,0.3111350604595559,3652,Unsatisfactory
02GA010,0.0569926007464476,0.38335574183636,3652,Unsatisfactory
02GB006,0.2438436250954437,0.448316492065166,3652,Unsatisfactory
02GB007,-0.4586849012208889,0.3135750196815963,1094,Negative
02GB008,0.2279861786257903,0.5154641046892157,3652,Unsatisfactory
02GB001,0.1863136089376612,0.5207377033277505,3652,Unsatisfactory
02GD022,-0.3584911172808889,0.0881999063334664,2646,Negative
02GD011,-0.0662046327125649,0.3827324095110095,3652,Negative
02GD015,0.1157902358059845,0.2822928067004402,3652,Unsatisfactory
02GD004,0.1088325767157788,0.275613945334375,3652,Unsatisfactory
02GD016,0.0851999817287645,0.4678216266270508,3652,Unsatisfactory
02GD003,0.2590053018584919,0.480433315998463,3652,Unsatisfactory
02GD028,-0.0366409545757966,-0.0255804145775013,3636,Negative
02GC011,0.1067039832055506,0.4112969053986702,3652,Unsatisfactory
02GD008,0.0570345467265849,0.217585544009776,3652,Unsatisfactory
02GC037,-0.1757673555801304,0.2674797228991008,1665,Negative
02GC017,-0.0659909019429205,0.3532146379880189,3652,Negative
02GD027,0.0404595192809029,0.3731661761325794,3652,Unsatisfactory
02GD001,0.1176799713505427,0.4278282425775963,3652,Unsatisfactory
02GE002,0.2238194956660824,0.465694828905023,3652,Unsatisfactory
02GE008,0.0178410575278014,0.1905313435042755,3652,Unsatisfactory
02GG005,0.0603888058486736,0.3226256825956349,3652,Unsatisfactory
02GE005,-0.271861375074339,0.0110513513760343,3652,Negative
02GC010,-0.0321161685650113,0.3529129037711628,3652,Negative
02GC008,-1.730793445628847,0.0186826799712057,3652,Negative
02GG006,0.310460409711038,0.2422441293840567,3652,Unsatisfactory
02GC029,-0.4591743964460619,0.3267168671913403,3652,Negative
02GC031,-0.3014659285644121,0.3085349974661463,3652,Negative
02GC030,-0.1077685054559411,0.0958081737727655,3652,Negative
02GC002,-0.2114030053030315,0.3602443571743225,3652,Negative
02GG002,0.0634615062431607,0.3494163525481847,3652,Unsatisfactory
02GG009,0.3360554189444016,0.283623769166041,3652,Unsatisfactory
02GC018,-0.0707327263718193,0.0681395500343315,3652,Negative
02GG013,0.1164252177544192,-0.0317766944986481,3628,Unsatisfactory
02GC038,-1.211034085262826,0.0321499117036787,1461,Negative
02GE006,0.2514205980756484,0.5044853950435566,3652,Unsatisfactory
