basin_id,NSE,KGE,Performance
02AA001,,,N/A
02AA002,,,N/A
02AB001,,,N/A
02AB002,,,N/A
02AB004,,,N/A
02AB005,,,N/A
02AB006,0.23866837563653975,0.5420263046786324,Unsatisfactory
02AB007,,,N/A
02AB008,-0.02774012740513121,0.13075965582860538,Negative
02AB009,,,N/A
02AB010,,,N/A
02AB011,,,N/A
02AB012,,,N/A
02AB013,,,N/A
02AB014,0.2816118324874055,0.25727642932115424,Unsatisfactory
02AB015,,,N/A
02AB016,,,N/A
02AB017,0.22370710511735403,0.26786595801560786,Unsatisfactory
02AB019,0.11871579495367679,0.3203964867938821,Unsatisfactory
02AB020,0.015146955816573326,0.16213376328395612,Unsatisfactory
02AB021,0.16078997802177264,0.16362160955483962,Unsatisfactory
02AB022,-0.21313504861883015,0.2624428278796812,Negative
02AB023,0.067879263420075,0.023420093914467643,Unsatisfactory
02AB024,-0.0775881560838152,0.08376793997883802,Negative
02AB025,-24.4924812437301,-0.33965589156748943,Negative
02AC001,0.12930319081554909,0.27418700165504106,Unsatisfactory
02AC002,0.21990255266190717,0.3782337155692157,Unsatisfactory
02AD010,0.5878787153493032,0.7350411917864825,Good
02AD011,,,N/A
02AE001,0.4874401898745281,0.5134853757981035,Good
02BA002,,,N/A
02BA003,0.5045199074251079,0.7208386537880429,Good
02BA005,0.3608321590622987,0.4116634656896516,Good
02BA006,0.5569592209845948,0.4929015418185254,Good
02BB002,,,N/A
02BB003,0.5465462212550608,0.7208083749907237,Good
02BB004,-0.07788389894291914,0.4695179798562399,Negative
02BC002,,,N/A
02BC003,,,N/A
02BC004,0.5975669668243917,0.7734614493439742,Good
02BC005,,,N/A
02BC006,0.5414532223995241,0.7068427127132719,Good
02BC008,,,N/A
02BD001,,,N/A
02BD002,,,N/A
02BD003,,,N/A
02BD006,0.10987147326963387,0.047807977534946366,Unsatisfactory
02BD007,-0.6096437623145212,0.3384523923278032,Negative
02BE001,,,N/A
02BE002,,,N/A
02BF001,0.6061412910822963,0.6139556847695153,Good
02BF002,0.554857868869584,0.6685971870351406,Good
02BF003,,,N/A
02BF004,-0.029627880070049795,0.31337639439799536,Negative
02BF005,,,N/A
02BF006,,,N/A
02BF007,,,N/A
02BF014,0.5535429442993487,0.6405618272277179,Good
02CA002,-0.24467571913249886,0.2792455912388021,Negative
02CA007,0.31144226570558764,0.18923632975922255,Unsatisfactory
02CB001,,,N/A
02CB002,,,N/A
02CB003,0.5345773097810766,0.7587993991693541,Good
02CC002,,,N/A
02CC003,,,N/A
02CC004,,,N/A
02CC005,0.5748895615290894,0.5251452987259331,Good
02CC006,,,N/A
02CC007,,,N/A
02CC008,,,N/A
02CC009,,,N/A
02CC010,0.5691980316741148,0.608729971781268,Good
02CD001,0.0424621894657885,0.09801163042916028,Unsatisfactory
02CD002,,,N/A
02CD003,,,N/A
02CD004,,,N/A
02CD005,,,N/A
02CD006,,,N/A
02CE001,,,N/A
02CE002,0.4967635819398518,0.5406677937912433,Good
02CE003,,,N/A
02CE004,,,N/A
02CE007,-55.359078335111434,-8.04268778996566,Negative
02CE103,,,N/A
02CF001,,,N/A
02CF002,,,N/A
02CF004,,,N/A
02CF005,0.45052733189373007,0.4470463944652874,Good
02CF007,0.3940332448053361,0.4357449951036625,Good
02CF008,0.4218349760926311,0.47529335887184765,Good
02CF009,,,N/A
02CF010,0.4755779264075428,0.46543549903787496,Good
02CF011,0.6662110230109339,0.7061471205099714,Good
02CF012,0.22033408172920954,0.27032149001224315,Unsatisfactory
02CF013,0.15043675584621585,0.4118821487443066,Unsatisfactory
02CF014,0.7213491926042921,0.7483885908630161,Good
02CF100,,,N/A
02CG001,,,N/A
02CG003,-1.2667068874914191,-0.01906528905526028,Negative
02CG004,,,N/A
02DA001,,,N/A
02DB001,,,N/A
02DB002,,,N/A
02DB003,,,N/A
02DB004,,,N/A
02DB005,0.10344886647276252,0.3906417995161997,Unsatisfactory
02DB006,,,N/A
02DB007,0.09908342414692262,0.34600251077242605,Unsatisfactory
02DB008,,,N/A
02DC001,,,N/A
02DC002,,,N/A
02DC003,,,N/A
02DC004,0.6049616775683605,0.6404844997405743,Good
02DC005,,,N/A
02DC006,,,N/A
02DC007,,,N/A
02DC008,,,N/A
02DC009,,,N/A
02DC011,,,N/A
02DC012,0.6829850451071182,0.6618030426264804,Good
02DC013,0.210576158673896,0.288964093989305,Unsatisfactory
02DD001,,,N/A
02DD002,,,N/A
02DD004,,,N/A
02DD005,,,N/A
02DD007,,,N/A
02DD008,,,N/A
02DD009,,,N/A
02DD010,-2.645837831679415,-0.5270917632747907,Negative
02DD012,0.3650433182008751,0.2856605965181165,Good
02DD013,0.07948331945672249,0.22528901837496784,Unsatisfactory
02DD014,,,N/A
02DD015,0.5076439324272437,0.5944326458622029,Good
02DD016,-0.8051104065054295,-0.01701174226084401,Negative
02DD017,-1.0483506599987487,-0.6095035843265637,Negative
02DD019,,,N/A
02DD020,-1.5531275964913438,-0.5917015554742562,Negative
02DD024,0.588623322043235,0.6181977279120856,Good
02DD026,-2.60725608738581,-0.5653173821466786,Negative
02DD029,,,N/A
02DD030,,,N/A
02DD031,,,N/A
02EA001,,,N/A
02EA005,0.6132028127353221,0.5901529739347158,Good
02EA006,,,N/A
02EA007,,,N/A
02EA008,,,N/A
02EA009,,,N/A
02EA010,0.5056185252002836,0.6031425506772856,Good
02EA011,0.6752807912283908,0.6623462673503049,Good
02EA012,,,N/A
02EA018,0.6823265828150133,0.7231776671747312,Good
02EA021,0.5035095636469014,0.5119373799729149,Good
